PERNR	Personnel Number
INFTY	Infotype
SUBTY	Subtype
OBJPS	Object Identification
SPRPS	Lock Indicator for HR Master Data Record
ENDDA	End Date
BEGDA	Start Date
SEQNR	Number of Infotype Record With Same Key
AEDTM	Last Changed On
UNAME	Name of Person Who Changed Object
HISTO	Historical Record Flag
ITXEX	Text Exists for Infotype
REFEX	Reference Fields Exist (Primary/Secondary Costs)
ORDEX	Confirmation Fields Exist
ITBLD	Infotype Screen Control
PREAS	Reason for Changing Master Data
FLAG1	Reserved Field/Unused Field
FLAG2	Reserved Field/Unused Field
FLAG3	Reserved Field/Unused Field
FLAG4	Reserved Field/Unused Field
RESE1	Reserved Field/Unused Field of Length 2
RESE2	Reserved Field/Unused Field of Length 2
GRPVL	Grouping Value for Personnel Assignments
UFBOT	Region (State, Province, County)
STINV	Challenged dependent indicator
ESCOL	Education level
SALFA	Eligibility indicator for child allowance
IRFLG	Eligibility indicator for income tax discount
SERIE	Grade
MODEN	Educational specification
ESCOA	School
DTCVC	Vaccination card expiration
SALED	Eligibility indicator for education allowance
ESTUD	Dependent student indicator
FUMAN	Smoker dependent indicator
CARTO	Name of public notary
NOREG	Record number
NOLIV	Entry ledger number
NOFOL	Entry sheet number
DTENT	Certificate date of delivery
DTBAI	Sick leave date
ICTYP	Type of ID document
ICNUM	CPF no.
PENSI	Pensioner indicator
MOVOR	First Name
MONAM	Last Name
MONA2	Second Name
MINIT	Initials
MOTHE	Mother full name
EXCEP	Dependent physical challenged person
SBART	Type of Challenge
NOREU	Birth certificate register
LBCNR	Live Birth Certificate
NHCNR	Health National Card
HEALTHPLAN_IND	Dependent indicator in private health plan
DEPENDENCY_DESCR	Dependency description
